database,variant,benchmark,workload,metric_name,metric_value,unit,repetition
leveldb,release-dynamic,ycsb,a_t1,throughput,51946.1,ops/sec,0
leveldb,release-dynamic,ycsb,a_t1,latency_avg,17.688,us,0
leveldb,release-dynamic,ycsb,b_t1,throughput,173060.0,ops/sec,0
leveldb,release-dynamic,ycsb,b_t1,latency_avg,5.042,us,0
leveldb,release-dynamic,ycsb,c_t1,throughput,86434.0,ops/sec,0
leveldb,release-dynamic,ycsb,c_t1,latency_avg,10.030,us,0
leveldb,release-dynamic,ycsb,d_t1,throughput,219201.0,ops/sec,0
leveldb,release-dynamic,ycsb,d_t1,latency_avg,3.546,us,0
leveldb,release-dynamic,ycsb,e_t1,throughput,8602.61,ops/sec,0
leveldb,release-dynamic,ycsb,e_t1,latency_avg,100.539,us,0
leveldb,release-dynamic,ycsb,f_t1,throughput,47381.8,ops/sec,0
leveldb,release-dynamic,ycsb,f_t1,latency_avg,12.940,us,0
leveldb,release-mte,ycsb,a_t1,throughput,53174.7,ops/sec,0
leveldb,release-mte,ycsb,a_t1,latency_avg,16.959,us,0
leveldb,release-mte,ycsb,b_t1,throughput,173042.0,ops/sec,0
leveldb,release-mte,ycsb,b_t1,latency_avg,5.039,us,0
leveldb,release-mte,ycsb,c_t1,throughput,86686.2,ops/sec,0
leveldb,release-mte,ycsb,c_t1,latency_avg,10.310,us,0
leveldb,release-mte,ycsb,d_t1,throughput,194366.0,ops/sec,0
leveldb,release-mte,ycsb,d_t1,latency_avg,4.131,us,0
leveldb,release-mte,ycsb,e_t1,throughput,8477.77,ops/sec,0
leveldb,release-mte,ycsb,e_t1,latency_avg,102.779,us,0
leveldb,release-mte,ycsb,f_t1,throughput,47949.6,ops/sec,0
leveldb,release-mte,ycsb,f_t1,latency_avg,12.616,us,0
leveldb,release-static,ycsb,a_t1,throughput,54890.0,ops/sec,0
leveldb,release-static,ycsb,a_t1,latency_avg,15.981,us,0
leveldb,release-static,ycsb,b_t1,throughput,128827.0,ops/sec,0
leveldb,release-static,ycsb,b_t1,latency_avg,6.718,us,0
leveldb,release-static,ycsb,c_t1,throughput,130753.0,ops/sec,0
leveldb,release-static,ycsb,c_t1,latency_avg,6.630,us,0
leveldb,release-static,ycsb,d_t1,throughput,157580.0,ops/sec,0
leveldb,release-static,ycsb,d_t1,latency_avg,4.966,us,0
leveldb,release-static,ycsb,e_t1,throughput,2918.54,ops/sec,0
leveldb,release-static,ycsb,e_t1,latency_avg,270.618,us,0
leveldb,release-static,ycsb,f_t1,throughput,49117.8,ops/sec,0
leveldb,release-static,ycsb,f_t1,latency_avg,12.003,us,0
leveldb,release-cheri,ycsb,a_t1,throughput,40044.8,ops/sec,0
